,,,,,,,,,Season
A,3,Bowl'd Peanuts,27,7,9,9,569.1 (7),891.3 (4),XXV
A,4,Wild Llamas,24,4,7,10,576.9 (6),887.1 (7),XXV
A,5,Bowling Stones,21,2,8,5,539.7 (11),870.7 (16),XXV
A,6,Pin-Ups,20,1,6,8,492.8 (16),887.2 (5),XXV
A,7,E-Bowla,19,4,5,9,641.5 (2),887.1 (6),XXV
A,7,Gutter Mouths,19,7,6,7,488.5 (17),883.3 (9),XXV
A,9,Lucky Strikes,17,5,6,5,555.5 (9),868.3 (19),XXV
A,10,Mom Ballerz,15,3,4,7,516.3 (14),872.5 (14),XXV
B,1,Fancy Pants,24,0,7,10,469.7 (18),885.9 (8),XXV
B,1,Hot Shotz,24,4,9.5,5,537.9 (12),872.5 (13),XXV
B,3,Jive Turkeys,23,0,8,7,561.1 (8),879.5 (11),XXV
B,3,Wolf Splitzers,23,4,7,9,622.3 (4),880.7 (10),XXV
B,3,Village Idiots,23,7,7,9,509.3 (15),895.5 (3),XXV
B,6,Stinky Cheese,21,6,8,5,659.1 (1),871.9 (15),XXV
B,7,Gutterglory,20,7,8.5,3,553.8 (10),866.2 (20),XXV
B,8,Valley of the Balls,19,2,7,5,465.5 (19),870.1 (17),XXV
B,9,Bowltron,18,3,7,4,531.1 (13),870.0 (18),XXV
B,10,The Guttersnipes,17,8,6,5,462.9 (20),874.1 (12),XXV
,,,,,,,,,
A,1,Bowltron,55,7,18,19,576.9 (4),894.7 (4),XXIV
A,2,Bowl'd Peanuts,51,5,17,17,561.7 (7),897.0 (3),XXIV
A,3,Village Idiots,47,3,15,17,480.4 (17),891.9 (6),XXIV
A,4,Bowling Stones,43,7,14,15,516.7 (15),889.1 (7),XXIV
A,5,The Guttersnipes,42,6,15,12,453.2 (20),876.0 (16),XXIV
A,6,Pin-Ups,40,8,14,12,482.3 (16),882.1 (13),XXIV
A,6,Wolf Splitzers,40,4,13,14,628.9 (3),888.1 (9),XXIV
A,8,Sparadigm Shift,30,2,11,8,538.6 (12),869.5 (18),XXIV
A,8,Jive Turkeys,30,7,9,12,559.1 (10),885.3 (12),XXIV
A,10,Gutter Mouths,27,0,9,9,522.1 (14),868.5 (19),XXIV
B,1,Lucky Strikes,61,3,20.5,20,563.1 (6),905.6 (1),XXIV
B,2,Fancy Pants,45,8,16,13,466.9 (19),881.1 (15),XXIV
B,3,Mom Ballerz,43,9,13,17,528.4 (13),898.6 (2),XXIV
B,4,Hot Shotz,42,1,15.5,11,560.3 (9),881.7 (14),XXIV
B,5,Wild Llamas,41,2,14,13,564.9 (5),892.3 (5),XXIV
B,6,Stinky Cheese,40,5,12,16,669.3 (1),889.1 (7),XXIV
B,7,E-Bowla,39,6,13,13,639.5 (2),886.9 (11),XXIV
B,8,Valley of the Balls,34,3,10.5,13,476.0 (18),887.6 (10),XXIV
B,9,The Boom Kings,32,4,11.5,9,551.0 (11),861.7 (20),XXIV
B,10,Gutterglory,28,0,9,10,561.3 (8),869.8 (17),XXIV
,,,,,,,,,
A,1,Bowltron,56,4,18,20,548.7 (10),911.3 (1),XXIII
A,2,Wild Llamas,52,6,17,18,552.8 (9),893.8 (5),XXIII
A,3,Gutter Mouths,49,6,17,15,570.1 (6),894.4 (4),XXIII
A,4,Hot Shotz,43,5,13,17,566.2 (7),886.9 (7),XXIII
A,5,Bowling Stones,40,8,13,14,534.8 (12),880.8 (9),XXIII
A,6,Stinky Cheese,39,7,14,11,663.0 (1),879.9 (11),XXIII
A,7,Bowl'd Peanuts,34,3,12,10,535.3 (11),873.0 (16),XXIII
A,8,Sparadigm Shift,32,2,10,12,482.5 (16),876.9 (12),XXIII
A,8,Lucky Strikes,32,2,12,8,500.4 (13),870.3 (18),XXIII
A,10,Mom Ballerz,26,0,9,8,491.3 (14),862.5 (20),XXIII
B,1,Gutterglory,62,7,22,18,605.0 (4),898.3 (2),XXIII
B,2,Wolf Splitzers,51,0,17,17,627.9 (2),897.7 (3),XXIII
B,3,The Boom Kings,44,4,14,16,594.0 (5),889.6 (6),XXIII
B,4,The Guttersnipes,43,9,14,15,466.1 (18),880.7 (10),XXIII
B,5,Valley of the Balls,41,9,16.5,8,456.2 (19),872.1 (17),XXIII
B,6,Village Idiots,39,7,14,11,478.7 (17),875.0 (14),XXIII
B,7,E-Bowla,38,7,11.5,15,617.8 (3),884.0 (8),XXIII
B,8,Jive Turkeys,34,0,10,14,558.1 (8),875.0 (14),XXIII
B,9,Fancy Pants,30,1,10,10,451.3 (20),869.1 (19),XXIII
B,10,Pin-Ups,25,3,6,13,482.9 (15),875.4 (13),XXIII
